claim_id,section,claim,source_ids,evidence_location,status,notes
RW01,related work,DynamicViT learns token retention; A-ViT learns token halting.,PA-dynamicvit2021;PA-avit2022,DynamicViT Sec.3; A-ViT Sec.3,reported,
RW02,related work,ToMe applies BSM to similar tokens and supports post-training use and training.,PA-tome2023,Sec.3; Appendix A.1.4,reported,
RW03,related work,PiToMe protects low-energy informative/isolated tokens; MCTF uses multiple criteria and consistency; SAD-TM uses saliency and delayed merging.,PA-pitome2024;PA-mctf2024;PA-sadtm2026,PiToMe Sec.3.2; MCTF Secs.3.2-3.4; SAD-TM Secs.3.2-3.3,reported,
RW04,related work,DTEM learns decoupled embeddings using continuously relaxed grouping/merging; its soft embedding updates retain token count; inference is hard BSM.,PA-dtem2024,Secs.3.1-3.4,reported,
RW05,related work,OpenToMe upstream already contains DTEM and threshold soft top-k; local extensions require separate attribution.,PA-opentome;PA-dtem2024,"OpenToMe README DTEM entry; opentome/timm/dtem.py lines 9,326,369,841-843",reported,"Uses the pinned inspected upstream snapshot, not an assertion about current HEAD."
RW06,related work,ALGM and DSM use local-then-global merging.,PA-algm2024;PA-dsm2024,ALGM Sec.3.3; DSM Secs.2.2-2.3,reported,
RW07,related work,GTP-ViT mixes original-grid adjacency and semantic edges; CubistMerge hard-constrains row/column adjacency; MAT uses Hilbert adjacency.,PA-gtpvit2024;PA-cubistmerge2026;PA-napmat2025,GTP Secs.3.2.2-3.2.3; Cubist Secs.3.1-3.2; MAT method Eqs.5-6,reported,
RW08,related work,LookupViT exchanges information between fixed compressed tokens and a cheap high-resolution stream with bidirectional cross-attention.,PA-lookupvit2024,Secs.3.1-3.3; Fig.3,reported,
RW09,related work,DToP early-exits confident segmentation tokens and combines stage predictions; it does not reconstruct them.,PA-dtop2023,Secs.3.2-3.4,reported,
RW10,evaluation context,ToMe has a scratch 300-epoch DeiT setting whereas DTEM mainly reports pretrained adaptation; their public scores are not a matched p8 comparison.,PA-tome2023;PA-dtem2024;PA-deit2021,ToMe Appendix A.1.4; DTEM Sec.4.1/Appendix A.2,inferred,No published scores imported as current controlled evidence.
