source_id,title,curated_artifact,evidence_location,status,claims_supported,audited_date
EX-IN1K,September 15 ImageNet campaign,data/manifest.json,original 17 summary CSVs and 2419 EMA log matches,derived,16 complete of 18 launched; best/final and effective global batch,2026-09-15
EX-IN1K-19,September 19 ImageNet campaign,data/manifest_20260919.json,23 summary CSVs and launch_protocol.json,derived,21 complete; 512 MN 82.618; curriculum 79.310; drop-path 79.534; DeiT-B overfit,2026-09-20
EX-CIFAR-SEEDS,Local three-seed CIFAR selector/geometry campaign,data/cifar_seeds/endpoints.csv,24 epoch-199 summaries; contrasts.csv,derived,All R3 paired signs positive; degree-matched control; two selectors,2026-09-16
EX-SWEEP,Post-training compression sweep,data/testtime_records.jsonl,latest successful timestamp per key; data/testtime_accuracy_curves.csv,derived,60 compression cells; 20 matched final-patch triplets; ToMe accuracy advantage; no matched compute claim,2026-09-15
EX-EFF,Guarded synthetic H20 architecture timing,data/publishable_efficiency.csv,September 5 224px; September 13 384px and b64 control,reported,224 latency penalty; 384 R3 latency crossover; random-initialization model execution,2026-09-15
EX-LAT,Caveated 384px ToMe latency,data/matched_latency_caveated.csv,prop_attn=False; achieved sequence includes CLS; reserved memory,reported,configuration-specific latency only; does not establish joint Pareto,2026-09-15
EX-COST,CPU analytic arithmetic decomposition,data/analytic_cost.json,analytic_MAC_budget and token_trajectories.csv,derived,14.1302 vs22.4057 GMAC; fixed-slot front end; no measured HBM or CUDA launch counts,2026-09-15
EX-TOPK,Independent threshold-selection probes,data/diagnostics/batch_dependence.json,fixed first row; second-row replacement; constant batch tests,derived,batch coupling and nonfinite constant cases; not checkpoint accuracy effect,2026-09-15
EX-REF,Bisection correctness reference,data/diagnostics/thretopk_bisection_validation.json,summary: 120 tensor cases; 3 gradchecks; sample invariance,derived,bounded correctness reference only; untrained; no GPU/autocast stability or speed claim,2026-09-15
EX-LAYOUT,A100 LocalAttention layout microbenchmark,data/diagnostics/layout_results.json,four parity cases; 3 rounds x20 timing samples; snapshots,reported,module-level timing and parity only; not full-model or H20 speedup,2026-09-15
EX-CIFAR,August CIFAR-100 spatial campaign,data/cifar/r3-paired-results.csv,70 raw 200-epoch summaries audited; 60 new radius runs and10 historicalflat,derived,"R3 mean70.119 vs Global68.284; resized32px,seed42,epoch199EMA,dense historical backend",2026-09-15
EX-CODE,Canonical MergeNet release,experiments/README.md,"4b4945afd93986d94ebb8bf4f44b2e0dba83d230; model.py, dtem.py, tome.py, thetopk.py",reported,"method order, spatial support, latent mass attention, soft selector and auxiliary-logit schedules",2026-09-15
EX-A100-FULL,Unified local A100 architecture timing,data/followup/whole_model.json,36 cells;1080 CUDA event samples;exact shapes;no timing hooks,derived,local-stack latency only;random weights;proportional-attention control;modest BNHD benefit,2026-09-15
EX-CIFAR-REPLAY,Independent local CIFAR EMA replay and selector intervention,data/followup/cifar_predictions.csv.gz,2 freshly hashed EMA states;8 full-test evaluations;fixed-companion probes,derived,batch-dependent predictions;R3 advantage persists;selector intervention changes accuracy,2026-09-15
EX-FULL-PARITY,Complete-model layout training-graph checks,data/followup/sparse_scaled_parity.json,dense_parity.json;unscaled failed tests and repeat controls in whole_model.json,derived,bounded dense and scaled-sparse parity;not long-run training equivalence,2026-09-15
EX-PACKET-LOG,September 19 packet log consistency audit,research/collaborator-review-20260921/log-audit.json,"23 runs; 3365 summary rows; 44 gzip logs; attempt segmentation and duplicate collapse",derived,"3264 EMA row matches;101 summary-only rows;0 unresolved mismatches or ambiguities;not checkpoint replay",2026-09-21
