source_id,bib_key,title,authors,year,family_or_topic,artifact_type,version_or_release_date,url,accessed_date,primary_source,claims_supported,evidence_location,disclosure_status,notes
PA-dynamicvit2021,dynamicvit2021,DynamicViT: Efficient Vision Transformers with Dynamic Token Sparsification,Yongming Rao; Wenliang Zhao; Benlin Liu; Jiwen Lu; Jie Zhou; Cho-Jui Hsieh,2021,learned pruning,conference paper,NeurIPS 2021 camera-ready,https://papers.nips.cc/paper_files/paper/2021/file/747d3443e319a22747fbb873e8b2f9f2-Paper.pdf,2026-09-15,true,hierarchical learned pruning; 30e adaptation; DeiT-S 2.9G operating point,PDF pp.5-7; Sec.4; Table 1,reported,Reused primary-method review from 2026-09-11. Official repo/version is recorded in external_map_ledger.csv.
PA-avit2022,avit2022,A-ViT: Adaptive Tokens for Efficient Vision Transformer,Hongxu Yin; Arash Vahdat; Jose M. Alvarez; Arun Mallya; Jan Kautz; Pavlo Molchanov,2022,adaptive token halting,conference paper,CVPR 2022 camera-ready,https://openaccess.thecvf.com/content/CVPR2022/papers/Yin_A-ViT_Adaptive_Tokens_for_Efficient_Vision_Transformer_CVPR_2022_paper.pdf,2026-09-15,true,per-token adaptive halting; 100e fine-tuning; ImageNet result,PDF pp.4-8; Secs.3-4; Table 3,reported,Reused primary-method review from 2026-09-11. Official code has a restrictive NVIDIA source license.
PA-tome2023,tome2023,Token Merging: Your ViT but Faster,Daniel Bolya; Cheng-Yang Fu; Xiaoliang Dai; Peizhao Zhang; Christoph Feichtenhofer; Judy Hoffman,2023,hard token merging,paper,ICLR 2023 camera-ready; arXiv v3 2023-03-01,https://arxiv.org/abs/2210.09461v3,2026-09-15,true,global BSM; size-weighted merge; off-the-shelf and scratch protocols,"PDF pp.3-7,15; Secs.2-4; Tables 1,4,10",reported,Reused primary-method review from 2026-09-11. Read local camera-ready PDF; reopened current arXiv metadata. Sections/table claims verified in local primary PDF. arXiv version history rechecked 2026-09-15: no newer version.
PA-pitome2024,pitome2024,Accelerating Transformers with Spectrum-Preserving Token Merging,Hoai-Chau Tran; Duy M. H. Nguyen; Duy M. Nguyen; Trung-Tin Nguyen; Ngan Le; Pengtao Xie; Daniel Sonntag; James Y. Zou; Binh T. Nguyen; Mathias Niepert,2024,spectrum-preserving merging,paper,NeurIPS 2024; arXiv v2 2024-10-30,https://arxiv.org/abs/2405.16148v2,2026-09-15,true,graph-spectrum energy score; informative-token protection; ImageNet results,"Sec.3.2; Sec.4.3; Table 5; PDF pp.4,8-9",reported,Reused primary-method review from 2026-09-11. Canonical names use arXiv metadata; local conference PDF renders TrungTin Nguyen and James Zou. Primary PDF energy mechanism reread; not a learned-embedding router. arXiv version history rechecked 2026-09-15: no newer version.
PA-mctf2024,mctf2024,Multi-criteria Token Fusion with One-step-ahead Attention for Efficient Vision Transformers,Sanghyeok Lee; Joonmyung Choi; Hyunwoo J. Kim,2024,multi-criteria fusion,conference paper,CVPR 2024 camera-ready,https://openaccess.thecvf.com/content/CVPR2024/papers/Lee_Multi-criteria_Token_Fusion_with_One-step-ahead_Attention_for_Efficient_Vision_Transformers_CVPR_2024_paper.pdf,2026-09-15,true,multi-criteria fusion; one-step-ahead attention; 30e DeiT results,"PDF pp.3-7; Secs.3-4; Tables 1,3",reported,Reused primary-method review from 2026-09-11. P0 strong trainable merger.
PA-sadtm2026,sadtm2026,Saliency-Driven Token Merging for Vision Transformers,Weiying Xie; Xiaoyu Chen; Xin Zhang; Chenhe Hao; Jitao Ma; Yunsong Li; Leyuan Fang,2026,saliency-driven merging,conference paper,CVPR 2026 camera-ready,https://openaccess.thecvf.com/content/CVPR2026/html/Xie_Saliency-Driven_Token_Merging_for_Vision_Transformers_CVPR_2026_paper.html,2026-09-15,true,saliency plus class attention; deferred merging; training-free results,CVPR camera-ready PDF pp.3-5; Secs.3.2-3.3 and 4.1,reported,Reused primary-method review from 2026-09-11. Fresh primary PDF download; CVPR official page verifies title/authors/venue. Latest-context comparator; no implementation reproduction in this review.
PA-dtem2024,dtem2024,Learning to Merge Tokens via Decoupled Embedding for Efficient Vision Transformers,Dong Hoon Lee; Seunghoon Hong,2024,learned soft merging,paper,NeurIPS 2024; arXiv v1 2024-12-13,https://arxiv.org/html/2412.10569v1,2026-09-15,true,decoupled low-dimensional routing embedding; continuous relaxed merge; frozen and E2E protocols,"Secs.3.1-3.4; Sec.4.1; Tables 1,3; Appendix A.2",reported,Reused primary-method review from 2026-09-11. HTML full method/setup independently read on cutoff. Soft operators retain token count during embedding updates; hard BSM at inference. arXiv version history rechecked 2026-09-15: no newer version.
PA-opentome,opentome,Westlake-AI/OpenToMe,Westlake-AI (repository maintainer),2025,official implementation,official repository,4b791cbc6bcef55040236c1852ff2f4102d82725,https://github.com/Westlake-AI/OpenToMe/tree/4b791cbc6bcef55040236c1852ff2f4102d82725,2026-09-15,true,official implementation provenance; repository is not a matched numerical reproduction,README News/Model Examples; opentome/timm/dtem.py dtem_apply_patch docstring,reported,Reused primary-method review from 2026-09-11. Read-only review; no experiments run. 2026-08-12T17:38:52Z
PA-dsm2024,dsm2024,Training-Free Acceleration of ViTs with Delayed Spatial Merging,Jung Hwan Heo; Seyedarmin Azizi; Arash Fayyazi; Massoud Pedram,2024,local-to-global merging,paper,arXiv v2 2024-07-01; ICML 2024 ES-FoMo Workshop,https://arxiv.org/abs/2303.02331v2,2026-09-15,true,delayed merging; true-2D local windows; transition to global,PDF p.3; Secs.2.2-2.3; Fig.3; PDF p.4 experiments,reported,Reused primary-method review from 2026-09-11. Re-fetched versioned PDF. Original v1 2023; reviewed spatial-merging version 2024. arXiv version history rechecked 2026-09-15: no newer version.
PA-algm2024,algm2024,ALGM: Adaptive Local-then-Global Token Merging for Efficient Semantic Segmentation with Plain Vision Transformers,Narges Norouzi; Svetlana Orlova; Daan de Geus; Gijs Dubbelman,2024,local-to-global merging and unmerge,conference paper,CVPR 2024 camera-ready,https://openaccess.thecvf.com/content/CVPR2024/papers/Norouzi_ALGM_Adaptive_Local-then-Global_Token_Merging_for_Efficient_Semantic_Segmentation_with_CVPR_2024_paper.pdf,2026-09-15,true,true-2D local CLAP; global GBM; dense unmerge,"PDF pp.4-8; Secs.3-4; Tables 1,5",reported,Reused primary-method review from 2026-09-11. Segmentation-only numeric evidence but strongest local-to-global claim blocker.
